id,prediction
0,0
1,0
2,0
3,1
4,1
5,0
6,1
7,0
8,1
9,1
10,0
11,0
12,1
13,1
14,0
15,1
16,0
17,0
18,1
19,1
20,1
21,1
22,0
23,0
24,1
25,1
26,0
27,1
28,1
29,0
30,1
31,1
32,1
33,1
34,0
35,0
36,0
37,1
38,0
39,1
40,0
41,1
42,1
43,1
44,1
45,0
46,1
47,1
48,1
49,0
50,1
51,1
52,0
53,1
54,0
55,1
56,0
57,1
58,1
59,0
60,0
61,0
62,1
63,1
64,0
65,1
66,0
67,1
68,1
69,1
70,0
71,1
72,1
73,1
74,0
75,0
76,0
77,1
78,1
79,1
80,0
81,1
82,0
83,0
84,0
85,0
86,1
87,0
88,0
89,1
90,0
91,0
92,0
93,1
94,1
95,1
96,1
97,1
98,0
99,0
100,0
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,0
109,1
110,1
111,1
112,1
113,0
114,0
115,1
116,0
117,1
118,1
119,0
120,1
121,1
122,1
123,0
124,1
125,1
126,1
127,1
128,1
129,0
130,0
131,0
132,1
133,0
134,0
135,1
136,1
137,1
138,0
139,1
140,0
141,0
142,1
143,0
144,0
145,1
146,0
147,1
148,1
149,0
150,1
151,1
152,0
153,0
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,0
165,1
166,0
167,0
168,0
169,1
170,0
171,1
172,1
173,0
174,1
175,0
176,1
177,0
178,1
179,1
180,1
181,0
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,0
191,0
192,1
193,1
194,1
195,0
196,1
197,1
198,0
199,1
200,1
201,1
202,1
203,1
204,0
205,1
206,0
207,1
208,0
209,0
210,1
211,1
212,1
213,1
214,0
215,0
216,0
217,1
218,1
219,1
220,0
221,1
222,1
223,1
224,1
225,0
226,1
227,1
228,1
229,1
230,1
231,1
232,0
233,0
234,0
235,0
236,1
237,1
238,1
239,1
240,1
241,0
242,0
243,0
244,0
245,0
246,1
247,1
248,0
249,1
250,1
251,0
252,1
253,0
254,1
255,1
256,1
257,1
258,0
259,0
260,0
261,1
262,1
263,1
264,1
265,1
266,0
267,1
268,1
269,1
270,1
271,0
272,1
273,0
274,0
275,1
276,0
277,1
278,0
279,1
280,1
281,1
282,0
283,1
284,1
285,0
286,1
287,0
288,0
289,1
290,1
291,0
292,1
293,1
294,0
295,0
296,0
297,0
298,0
299,1
300,1
301,0
302,0
303,1
304,1
305,1
306,1
307,1
308,1
309,0
310,0
311,1
312,1
313,0
314,1
315,1
316,0
317,1
318,1
319,0
320,1
321,1
322,0
323,1
324,0
325,0
326,1
327,1
328,0
329,1
330,0
331,1
332,1
333,0
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,0
345,0
346,1
347,1
348,0
349,0
350,0
351,1
352,1
353,0
354,1
355,0
356,1
357,1
358,1
359,1
360,0
361,1
362,1
363,0
364,1
365,0
366,1
367,1
368,1
369,1
370,1
371,0
372,1
373,0
374,0
375,1
376,1
377,0
378,1
379,1
380,1
381,1
382,1
383,0
384,1
385,1
386,0
387,1
388,1
389,1
390,1
391,0
392,0
393,0
394,0
395,1
396,0
397,1
398,0
399,0
